ATTR_DATA_ID,OBJ_ID,VER_NBR,PERM_ID,KIM_TYP_ID,KIM_ATTR_DEFN_ID,ATTR_VAL
OLE417,OLE417,1,OLE287,12,2,org.kuali.ole.gl.web.struts.BalanceInquiryAction
OLE420,OLE420,1,OLE291,3,13,OLE_EIRT
OLE421,OLE421,1,OLE292,15,1,electronicInvoiceInputFileType
OLE422,OLE422,1,OLE293,14,10,requestVendorCreditMemoHold
OLE548,OLE548,1,OLE293,14,13,OLE_CM
OLE423,OLE423,1,OLE294,14,10,vendorCreditMemoHoldRemoval
OLE549,OLE549,1,OLE294,14,13,OLE_CM
OLE425,OLE425,1,OLE301,12,2,org.kuali.ole.sys.web.struts.KualiBalanceInquiryReportMenuAction
OLE436,OLE436,1,OLE308,52,13,OLE_REQS
OLE437,OLE437,1,OLE308,52,6,items.sourceAccountingLines
OLE438,OLE438,1,OLE308,52,16,Initiator
OLE447,OLE447,1,OLE313,9,13,OLE_PO
OLE448,OLE448,1,OLE313,9,9,Contracts
OLE449,OLE449,1,OLE314,9,13,OLE_PO
OLE450,OLE450,1,OLE314,9,9,Contracts
OLE451,OLE451,1,OLE315,9,13,OLE_PO
OLE452,OLE452,1,OLE315,9,9,Contract Ammendments
OLE453,OLE453,1,OLE316,9,13,OLE_PO
OLE454,OLE454,1,OLE316,9,9,Contract Ammendments
OLE455,OLE455,1,OLE317,9,13,OLE_PO
OLE456,OLE456,1,OLE317,9,9,Quotes
OLE457,OLE457,1,OLE318,9,13,OLE_PO
OLE458,OLE458,1,OLE318,9,9,Quotes
OLE459,OLE459,1,OLE319,9,13,OLE_PO
OLE460,OLE460,1,OLE319,9,9,RFPs
OLE461,OLE461,1,OLE320,9,13,OLE_PO
OLE462,OLE462,1,OLE320,9,9,RFPs
OLE463,OLE463,1,OLE321,9,13,OLE_PO
OLE464,OLE464,1,OLE321,9,9,RFP Responses
OLE465,OLE465,1,OLE322,9,13,OLE_PO
OLE466,OLE466,1,OLE322,9,9,RFP Responses
OLE467,OLE467,1,OLE323,9,13,OLE_PO
OLE468,OLE468,1,OLE323,9,9,Other - Restricted
OLE469,OLE469,1,OLE324,9,13,OLE_PO
OLE470,OLE470,1,OLE324,9,9,Other - Restricted
OLE471,OLE471,1,OLE325,9,13,OLE_CM
OLE472,OLE472,1,OLE325,9,9,Credit Memo Image
OLE473,OLE473,1,OLE326,9,13,OLE_CM
OLE474,OLE474,1,OLE326,9,9,Credit Memo Image
OLE433,OLE433,1,OLE328,52,13,OLE_REQS
OLE434,OLE434,1,OLE328,52,6,items.sourceAccountingLines
OLE435,OLE435,1,OLE328,52,16,Organization
OLE475,OLE475,1,OLE329,12,2,org.kuali.ole.fp.document.web.struts.CashManagementStatusAction
OLE476,OLE476,1,OLE330,12,2,org.kuali.ole.fp.document.web.struts.DepositWizardAction
OLE477,OLE477,1,OLE331,12,2,org.kuali.ole.fp.web.struts.CashDrawerCorrectionAction
OLE484,OLE484,1,OLE335,11,5,VendorDetail
OLE485,OLE485,1,OLE335,11,6,vendorHeader.vendorTaxTypeCode
OLE510,OLE510,1,OLE350,3,13,OLE_CR
OLE511,OLE511,1,OLE354,12,2,org.kuali.ole.fp.document.web.struts.DisbursementVoucherHelpAction
OLE512,OLE512,1,OLE355,52,13,OLE_POA
OLE513,OLE513,1,OLE355,52,16,NewUnorderedItems
OLE514,OLE514,1,OLE355,52,6,items.sourceAccountingLines
OLE515,OLE515,1,OLE356,3,13,OLE_CM
