PERM_ID,OBJ_ID,VER_NBR,PERM_TMPL_ID,NMSPC_CD,NM,DESC_TXT,ACTV_IND
OLE10227,OLE70008,1,62,OLE-CAT,MARC_EDITOR_DELETE_BIB,User can delete a bib record,Y
OLE10228,OLE70009,1,57,OLE-CAT,MARC_EDITOR_BIB_STATUS,User can edit bib status for a bib record,Y
OLE10229,OLE70010,1,59,OLE-CAT,EDITOR_HOLDINGS_CALLNUMBER,User can view holdings call number,Y
OLE10230,OLE70011,1,59,OLE-CAT,EDITOR_HOLDINGS_LOCATION,User can view holdings location,Y
OLE10231,OLE70012,1,59,OLE-CAT,EDITOR_ITEM_CALLNUMBERANDLOCATION,User can view item callnumber and  location,Y
OLE10232,OLE70014,1,62,OLE-CAT,INSTANCE_EDITOR_ADD_INSTANCE,User can add instance for a bib record,Y
OLE10233,OLE70015,1,62,OLE-CAT,INSTANCE_EDITOR_EDIT_INSTANCE,User can edit instance for a bib record,Y
OLE10234,OLE70016,1,62,OLE-CAT,INSTANCE_EDITOR_EDIT_ITEM,User can edit item for a bib record,Y
OLE10235,OLE70017,1,1,OLE-CAT,INSTANCE_EDITOR_ADD_ITEM,User can add item record ,Y
OLE10236,OLE70018,1,1,OLE-CAT,INSTANCE_EDITOR_DELETE_INSTANCE,User can delete instance record ,Y
OLE10237,OLE70019,1,1,OLE-CAT,INSTANCE_EDITOR_DELETE_ITEM,User can delete item record ,Y
OLE10238,OLE70020,1,1,OLE-CAT,CALL_NUMBER_BROWSE,Allows user to perform call number searches,Y
OLE10239,OLE70021,1,1,OLE-CAT,TRANSFER_HOLDING_OR_ITEM,Allows user to perform transfer holding/item searches,Y
OLE10240,OLE70022,1,1,OLE-CAT,BOUND_WITH,Allows user to perform bound holding/item,Y
OLE10241,OLE70023,1,58,OLE-CAT,INGEST_BIB_LOCAL,Allows user to import bib locally,Y
OLE10242,OLE70024,1,58,OLE-CAT,INGEST_BIB_EXTERNAL,Allows user to import bib from external,Y
OLE10243,OLE70025,1,1,OLE-CAT,BATCH_PROCESS_IMPORT,Allows user to import bib through batch process,Y
OLE10244,OLE70026,1,1,OLE-CAT,BATCH_PROCESS_EXPORT,Allows user to export batch through batch process,Y
OLE10269,10090,1,10,OLE-SELECT,Initiate E-Resource Record,Allows user to initiate the E-Resource record.,Y
OLE10270,10091,1,16,OLE-SELECT,Edit E-Resource Record,Allows user to edit the E-Resource record.,Y
OLE10271,OLE70052,1,1,OLE-CAT,BATCH_PROCESS_DELETE,Allows user to delete a batch through batch process,Y
OLE9001,OLE9001,1,52,OLE,Maintain KRMS Agenda,Allows creation and modification of agendas via the agenda editor,Y
OLE10272,OLE70053,1,16,OLE-SELECT,Edit Item Availability Maintenance Document,Edit Item Availability Maintenance Document,Y
OLE10273,OLE70054,1,62,OLE-CAT,INSTANCE_EDITOR_DELETE_EINSTANCE,User can delete an eHoldings record,Y
OLE10274,OLE70055,1,62,OLE-CAT,MARC_EDITOR_ADD_EINSTANCE,User can add an eholding record,Y
OLE10275,OLE70056,1,62,OLE-CAT,INSTANCE_EDITOR_EDIT_EINSTANCE,User can edit an eholding record,Y
OLE10276,OLE70057,1,42,OLE-PTRN,Initiate Patron Document,Authorizes users to Create Patron Document,Y
OLE10277,OLE70058,1,42,OLE-PTRN,Edit Patron Document,Authorizes users to Edit Patron Document,Y
OLE10278,OLE70059,1,62,OLE-CAT,INSTANCE_EDITOR_EINSTANCE_RESTORE_OLE-DEFAULTS,Authorizes users to restore ole defaults,Y
OLE10279,OLE70060,1,16,OLE-SELECT,Edit Serial Receiving Document,Authorizes users to Edit Serial Receiving Document,Y
OLE10280,OLE70061,1,1,OLE-SELECT,Link Existing Bib,Allows users to link existing bib to requisition,Y
OLE10281,OLE70062,1,4,OLE-SELECT,Blanket Approve CM Document,Allows User to blanket approve a CM document,Y
OLE10282,OLE70063,1,59,OLE-PTRN,Update patron overview,User can update Barcode Borrower Type Upload Image etc. ,Y
OLE10283,OLE70064,1,59,OLE-PTRN,Update patron name only,User can update patron name,Y
OLE10284,OLE70065,1,59,OLE-PTRN,Update patron phone only,User can update patron phone type  phone number extension number details etc. ,Y
OLE10285,OLE70066,1,59,OLE-PTRN,Update patron email only,User can update patron email address,Y
OLE10286,OLE70067,1,59,OLE-PTRN,Update patron affiliation,User can update patron affiliation details,Y
OLE10287,OLE70068,1,59,OLE-PTRN,Update patron library policies,User can update library policies,Y
OLE10288,OLE70069,1,58,OLE-PTRN,Display Loaned records,User can view loaned records,Y
OLE10289,OLE70070,1,58,OLE-PTRN,Display Temporary Circulation History records,User can view temporary circulation history records,Y
OLE10290,OLE70071,1,59,OLE-PTRN,Update Patron Notes,User can update patron notes.,Y
OLE10291,OLE70072,1,58,OLE-PTRN,Display Proxy Patron,User can view proxy patron.,Y
OLE10292,OLE70073,1,59,OLE-PTRN,Update Patron Local Id,User can update patron's local identification.,Y
OLE10293,OLE70074,1,59,OLE-PTRN,Display InvalidOrLost Barcode,User can view invalid or lost barcode.,Y
OLE10294,OLE70075,1,59,OLE-CAT,EDITOR_HOLDINGS_EXTENT_OF_OWNERSHIP,User can update extent of ownership,Y
OLE10295,OLE70076,1,10,OLE-CAT,Initiate Batch Process Profile,User can initiate batch process profile,Y
OLE10296,OLE70077,1,16,OLE-CAT,Edit Batch Process Profile,User can initiate batch process profile,Y
OLE10298,OLE70079,1,1,OLE-DLVR,Patron record expired,Allows users to override if patron record is expired.,Y
OLE10299,OLE70080,1,1,OLE-DLVR,Proxy patron record expired,Allows users to override if proxy patron record is expired.,Y
OLE10300,OLE70081,1,1,OLE-DLVR,Patron has a general block,Allows users to override if a patron record has a general block.,Y
OLE10301,OLE70082,1,1,OLE-DLVR,Patron has max # of items checked out,Allows users to override if a patron has checked out maximum number of items.,Y
OLE10302,OLE70083,1,1,OLE-DLVR,Patron has max # of checked out items marked 'claimed returned',Allows users to override if a patron has checked out maximum number of items marked 'claimed returned'.,Y
OLE10303,OLE70084,1,1,OLE-DLVR,Patron has max amount of overdue fines,Allows users to override if a patron has maximum amount of overdue fines.,Y
OLE10304,OLE70085,1,1,OLE-DLVR,Patron has max amount of replacement fees,Allows users to override if a patron has maximum amount of replacement fees.,Y
OLE10305,OLE70086,1,1,OLE-DLVR,Patron has max amount of all charges,Allows users to override if a patron has maximum amount of all charges.,Y
OLE10306,OLE70087,1,1,OLE-DLVR,Patron has max # of overdue items checked out,Allows users to override if a patron has checked out maximum number of overdue items.,Y
OLE10307,OLE70088,1,1,OLE-DLVR,Patron has max # of recalled overdue items checked out,Allows users to override if a patron has checked out maximum number of recalled overdue items.,Y
OLE10308,OLE70089,1,1,OLE-DLVR,Item on hold for another patron,Allows users to override if an item is on hold for another patron.,Y
OLE10309,OLE70090,1,1,OLE-DLVR,Renewal limit reached,Allows users to override if renewal has reached its maximum.,Y
OLE10311,OLE70092,1,1,OLE-DLVR,Patron has at least one item overdue for more than n days,Allows users to override if patron has at least one item overdue for more than n days,Y
OLE10312,OLE70093,1,1,OLE-DLVR,Patron has at least one recalled item overdue for more than n days,Allows users to override if patron has at least one recalled item overdue for more than n days,Y
OLE10313,OLE70094,1,1,OLE-DLVR,Item currently loaned to another patron,Allows users to override if an item is currently loaned to another patron,Y
OLE10314,OLE70095,1,1,OLE-DLVR,Item has pending request queue where patron presenting item is NOT the patron in queue position '1',Allows users to override if patron presenting item is NOT the patron in queue position '1',Y
OLE10315,OLE70096,1,1,OLE-DLVR,Item not at circ desk authorized to service the items shelving location,Allows users to override if an item is not at a circ desk authorized to service the items shelving location,Y
OLE10316,OLE70097,1,58,OLE-CAT,Global Edit of Holdings/Items/EHoldings,Allows users to edit multiple OLE Instances by making the same changes to all affected OLE Instances,Y
OLE10317,OLE70098,1,1,OLE-CAT,Create Analytics,Allows users to Create 'analytics' links between a series holdings record and one or more analytics holdings records.,Y
OLE10318,OLE70099,1,66,OLE-SELECT,Edit Enumeration Main Receipt History,Allows user to edit Enumeration field in Main Receipt History in serial receiving record.,Y
OLE10319,OLE70100,1,66,OLE-SELECT,Edit Enumeration Supplementary Receipt History,Allows user to edit Enumeration field in Supplementary Receipt History in serial receiving record.,Y
OLE10320,OLE70101,1,66,OLE-SELECT,Edit Enumeration Index Receipt History,Allows user to edit Enumeration field in Index Receipt History in serial receiving record.,Y
OLE10321,OLE70102,1,66,OLE-SELECT,Edit Chronology Main Receipt History,Allows user to edit Chronology field in Main Receipt History in serial receiving record.,Y
OLE10322,OLE70103,1,66,OLE-SELECT,Edit Chronology Supplementary Receipt History,Allows user to edit Chronology field in Supplementary Receipt History in serial receiving record.,Y
OLE10323,OLE70104,1,66,OLE-SELECT,Edit Chronology Index Receipt History,Allows user to edit Chronology field in Index Receipt History in serial receiving record.,Y
OLE10324,OLE70105,1,1,OLE-DLVR,Item contains the pending request,Allows users to override if item contains pending request.,Y
OLE10325,OLE70106,1,62,OLE-PTRN,Perform Fast Add Item Operation,Allows users to perform fast add item operation,Y
OLE10326,OLE10326,1,10,OLE-SELECT,Initiate Platform Record,Allows user to initiate the Platform record.,Y
OLE10327,OLE10327,1,16,OLE-SELECT,Edit Platform Record,Allows user to edit the Platform record.,Y
OLE10328,OLE10328,1,62,OLE-SELECT,Delete E-Resource Record,Allows user to delete the E-Resource record.,Y
OLE10329,OLE10329,1,62,OLE-SELECT,Delete E-Resource Instance,Allows user to delete the selected Instances under E-Resource record.,Y
OLE10330,OLE10330,1,10,OLE-SYS,Initiate and Edit Fund Code,Authorizes the initiation and edit of Fund code Simple Maintenance documents.,Y
OLE10500,OLE10500,1,15,OLE-SELECT,Save E-Resource Record,Allows user to Save the E-Resource record.,Y
OLE10501,OLE10501,1,10,OLE-SELECT,Initiate and Edit Problem Type,Authorizes the initiation and edit of Problem type Simple Maintenance documents.,Y
OLE10502,OLE10502,1,62,OLE-PTRN,Perform Credit Transfer,The posted amount will be credited from the bill amount or refund from the bill amount.,Y
OLE10503,OLE10503,1,62,OLE-PTRN,Perforn Debit Transfer,The posted amount will be transferred from the bill amount or refund from the bill amount.,Y
OLE10504,OLE10504,1,62,OLE-PTRN,Perform credit Payment,The posted amount will be credited from the bill amount or refund from the bill amount.,Y
OLE10505,OLE10505,1,62,OLE-PTRN,Perform refund,The posted amount will be transferred from the bill amount or refund from the bill amount.,Y
OLE10506,OLE10506,1,62,OLE-PTRN,Perform accept fine,The posted amount will be credited from the bill amount or refund from the bill amount.,Y
OLE3010502,OLE3010502,1,1,OLE-CAT,MARC_EDITOR_COPY_BIB,user to Copy a bibliographic record will be created,Y
