ROLE_PERM_ID,OBJ_ID,ROLE_ID,PERM_ID,ACTV_IND
OLE581,OLE581,66,OLE308,Y
OLE594,OLE594,OLE26,OLE313,Y
OLE595,OLE595,OLE26,OLE314,Y
OLE596,OLE596,OLE26,OLE315,Y
OLE597,OLE597,OLE26,OLE316,Y
OLE598,OLE598,OLE26,OLE317,Y
OLE599,OLE599,OLE26,OLE318,Y
OLE600,OLE600,OLE26,OLE319,Y
OLE601,OLE601,OLE26,OLE320,Y
OLE602,OLE602,OLE26,OLE321,Y
OLE603,OLE603,OLE26,OLE322,Y
OLE604,OLE604,OLE26,OLE323,Y
OLE605,OLE605,OLE26,OLE324,Y
OLE606,OLE606,OLE22,OLE325,Y
OLE607,OLE607,OLE22,OLE326,Y
OLE608,OLE608,OLE26,OLE326,Y
OLE611,OLE611,OLE62,OLE95,Y
OLE612,OLE612,OLE11,OLE329,Y
OLE613,OLE613,OLE11,OLE330,Y
OLE614,OLE614,OLE11,OLE331,Y
OLE619,OLE619,OLE49,OLE335,Y
OLE649,OLE649,OLE92,OLE350,Y
OLE650,OLE650,OLE33,OLE351,Y
OLE651,OLE651,OLE94,OLE352,Y
OLE652,OLE652,OLE93,OLE353,Y
OLE653,OLE653,OLE62,OLE102,Y
OLE654,OLE654,OLE54,OLE354,Y
OLE656,OLE656,66,OLE355,Y
OLE657,OLE657,OLE62,OLE97,Y
OLE658,OLE658,OLE22,OLE356,Y
OLE661,OLE661,66,OLE358,Y
OLE662,OLE662,83,OLE354,Y
OLE664,OLE664,OLE11,OLE361,Y
OLE665,OLE665,OLE44,OLE362,Y
OLE666,OLE666,OLE54,OLE363,Y
OLE667,OLE667,OLE32,OLE363,Y
OLE668,OLE668,OLE54,OLE88,Y
OLE669,OLE669,OLE32,OLE88,Y
OLE670,OLE670,OLE49,OLE364,Y
OLE671,OLE671,OLE22,OLE365,Y
OLE672,OLE672,OLE22,OLE366,Y
OLE673,OLE673,OLE22,OLE367,Y
OLE674,OLE674,OLE22,OLE368,Y
OLE680,OLE680,OLE11,OLE372,Y
OLE681,OLE681,OLE22,OLE373,Y
OLE682,OLE682,OLE22,OLE374,Y
OLE693,OLE693,OLE54,OLE379,Y
OLE694,OLE694,OLE37,OLE380,Y
OLE696,OLE696,60,OLE381,Y
OLE697,OLE697,OLE70,OLE381,Y
OLE698,OLE698,59,OLE382,Y
OLE699,OLE699,59,OLE383,Y
OLE703,OLE703,OLE50,OLE260,Y
OLE707,OLE707,OLE17,OLE385,Y
OLE708,OLE708,OLE50,OLE212,Y
OLE710,OLE710,OLE19,OLE386,Y
OLE711,OLE711,OLE19,OLE387,Y
OLE712,OLE712,OLE54,OLE390,Y
OLE713,OLE713,OLE54,OLE391,Y
OLE714,OLE714,OLE32,OLE391,Y
OLE715,OLE715,OLE54,OLE392,Y
OLE716,OLE716,OLE32,OLE392,Y
OLE719,OLE719,OLE98,OLE260,Y
OLE721,OLE721,OLE98,OLE326,Y
OLE722,OLE722,OLE70,OLE212,Y
OLE74,OLE74,OLE37,OLE55,Y
OLE75,OLE75,OLE37,OLE56,Y
OLE77,OLE77,OLE44,OLE58,Y
OLE78,OLE78,OLE33,OLE59,Y
OLE79,OLE79,OLE39,OLE60,Y
OLE80,OLE80,OLE37,OLE61,Y
OLE81,OLE81,OLE46,OLE61,Y
OLE82,OLE82,OLE37,OLE62,Y
OLE83,OLE83,OLE46,OLE62,Y
OLE84,OLE84,OLE37,OLE63,Y
OLE85,OLE85,OLE46,OLE63,Y
OLE86,OLE86,OLE37,OLE64,Y
OLE87,OLE87,OLE46,OLE64,Y
OLE89,OLE89,OLE16,OLE66,Y
OLE90,OLE90,OLE16,OLE67,Y
OLE93,OLE93,OLE11,OLE69,Y
OLE94,OLE94,OLE13,OLE70,Y
OLE95,OLE95,OLE44,OLE71,Y
OLE96,OLE96,OLE62,OLE72,Y
OLE97,OLE97,OLE45,OLE74,Y
OLE98,OLE98,OLE45,OLE75,Y
OLE99,OLE99,OLE17,OLE76,Y
OLE1500,OLE1500,OLE54,OLE1500,Y
OLE1501,OLE1501,OLE26,OLE1501,Y
OLESEC6001-1,OLESEC6001-1,51,OLESEC6001,N
OLESEC6002-1,OLESEC6002-1,51,OLESEC6002,N
OLESEC6003-1,OLESEC6003-1,51,OLESEC6003,N
OLESEC6004-1,OLESEC6004-1,51,OLESEC6004,N
OLESEC6001-2,OLESEC6001-2,44,OLESEC6001,N
OLESEC6002-2,OLESEC6002-2,44,OLESEC6002,N
OLESEC6003-2,OLESEC6003-2,44,OLESEC6003,N
OLESEC6004-2,OLESEC6004-2,44,OLESEC6004,N
OLEPURAP6940-01,OLEPURAP6940-01,26,OLEPURAP6940,Y
OLESYS7145a-01,OLESYS7145a-01,54,OLESYS7145a,Y
OLESYS7145a-02,OLESYS7145a-02,OLESYS1,OLESYS7145a,Y
OLESYS7145b-01,OLESYS7145b-01,54,OLESYS7145b,Y
OLESYS7145b-02,OLESYS7145b-02,22,OLESYS7145b,Y
OLESYS7145b-03,OLESYS7145b-03,16,OLESYS7145b,Y
OLESYS7145b-04,OLESYS7145b-04,OLESYS1,OLESYS7145b,Y
OLESYS6007-1,OLESYS6007-1,12,OLESYS6007,Y
OLESYS6007-2,OLESYS6007-2,45,OLESYS6007,Y
OLEMI6886-RLPRM1,OLEMI6886-RLPRM1,OLEMI6886-ROLE,OLEMI6886-PRM1,Y
OLEMI6886-RLPRM2,OLEMI6886-RLPRM2,OLEMI6886-ROLE,OLEMI6886-PRM2,Y
OLEMI6886-RLPRM3,OLEMI6886-RLPRM3,OLEMI6886-ROLE,OLEMI6886-PRM3,Y
OLEMI6886-RLPRM4,OLEMI6886-RLPRM4,45,OLEMI6886-PRM3,Y
OLECNTRB162-RLPRM1,OLECNTRB162-RLPRM1,56,OLECNTRB162-PRM,Y
OLECNTRB199-RP1,OLECNTRB199-RP1,51,OLECNTRB199-P1,Y
OLECNTRB199-RP2,OLECNTRB199-RP2,51,OLECNTRB199-P2,Y
OLE50-2,OLE50-2,54,820,Y
OLE50-3,OLE50-3,32,820,Y
OLE50-4,OLE50-4,54,819,Y
OLE50-5,OLE50-5,32,819,Y
OLE50-6,OLE50-6,54,821,Y
OLE50-7,OLE50-7,32,821,Y
OLEMI8342-RLPRM,OLEMI8342-RLPRM,39,OLEMI8342-PRM,Y
OLECNTRB65-RLPRM1,OLECNTRB65-RLPRM1,45,OLECNTRB65-PRM1,Y
OLEMI9598-RLPRM1,OLEMI9598-RLPRM1,45,OLEMI9598-PRM1,Y
OLEMI9598-RLPRM2,OLEMI9598-RLPRM2,45,OLEMI9598-PRM2,Y
OLEMI9598-RLPRM3,OLEMI9598-RLPRM3,45,OLEMI9598-PRM3,Y
OLE731,OLE731,OLE44,OLE393,Y
OLE732,OLE732,OLE62,OLE393,Y
OLE733,OLE733,OLE22,OLE394,Y
OLE734,OLE734,OLE62,OLE394,Y
OLE735,OLE735,OLE22,OLE395,Y
OLE736,OLE736,OLE22,OLE396,Y
OLE737,OLE737,OLE26,OLE396,Y
OLE738,OLE738,OLE50,OLE396,Y
OLE739,OLE739,OLE98,OLE396,Y
OLE740,OLE740,OLE22,OLE397,Y
OLE741,OLE741,59,OLE397,Y
OLE742,OLE742,59,OLE398,Y
OLE743,OLE743,OLE86,OLE399,Y
OLE744,OLE744,OLE29,OLE399,Y
OLE745,OLE745,OLE22,OLE400,Y
OLE746,OLE746,59,OLE400,Y
OLE747,OLE747,OLE22,OLE401,Y
OLE748,OLE748,OLE22,OLE402,Y
OLE749,OLE749,OLE22,OLE403,Y
